,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,feature
slope_mu[mu_covariates_0],-0.201,0.325,-0.795,0.415,0.009,0.006,1353.0,1856.0,1.0,lh_G_and_S_occipital_inf
slope_mu[mu_covariates_1],2.014,1.325,-0.464,4.54,0.028,0.017,2221.0,3368.0,1.0,lh_G_and_S_occipital_inf
slope_mu[mu_covariates_2],-0.581,0.999,-2.472,1.269,0.033,0.02,907.0,1553.0,1.0,lh_G_and_S_occipital_inf
slope_mu[mu_covariates_3],-0.535,0.738,-1.861,0.88,0.025,0.015,894.0,1594.0,1.0,lh_G_and_S_occipital_inf
slope_mu[mu_covariates_4],-0.577,0.71,-1.956,0.697,0.018,0.012,1525.0,2542.0,1.0,lh_G_and_S_occipital_inf
slope_mu[mu_covariates_5],0.368,1.005,-1.623,2.155,0.022,0.016,2037.0,2823.0,1.0,lh_G_and_S_occipital_inf
slope_mu[mu_covariates_6],0.969,1.418,-1.523,3.863,0.031,0.021,2064.0,3098.0,1.0,lh_G_and_S_occipital_inf
slope_mu[mu_covariates_7],-0.338,1.583,-3.276,2.627,0.028,0.019,3247.0,4125.0,1.0,lh_G_and_S_occipital_inf
mu_intercept_mu,0.439,0.673,-0.841,1.663,0.023,0.015,840.0,1393.0,1.0,lh_G_and_S_occipital_inf
site_sigma_intercept_mu,-1.45,0.503,-2.343,-0.478,0.014,0.007,1311.0,2356.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[0],-0.952,0.628,-2.156,0.211,0.007,0.009,8695.0,4541.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[1],-0.382,0.286,-0.953,0.12,0.004,0.004,6183.0,3285.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[2],-0.028,0.286,-0.543,0.528,0.003,0.004,9134.0,4443.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[3],-0.276,0.353,-0.956,0.356,0.004,0.005,8039.0,3956.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[4],1.057,0.294,0.55,1.636,0.006,0.004,2818.0,4043.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[5],-0.005,0.392,-0.729,0.764,0.004,0.006,8495.0,4493.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[6],0.45,0.154,0.179,0.743,0.003,0.002,2954.0,3781.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[7],0.534,0.274,0.025,1.055,0.004,0.004,5167.0,4360.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[8],-1.235,0.338,-1.91,-0.658,0.007,0.004,2713.0,3701.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[9],1.232,0.334,0.624,1.841,0.006,0.004,2892.0,4087.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[10],0.144,0.163,-0.167,0.447,0.002,0.002,6739.0,4317.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[11],0.041,0.278,-0.463,0.587,0.003,0.005,9467.0,3992.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[12],1.43,0.417,0.694,2.248,0.007,0.005,3395.0,4045.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[13],0.246,0.267,-0.233,0.764,0.003,0.004,6238.0,4256.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[14],0.308,0.188,-0.042,0.668,0.003,0.003,5866.0,4284.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[15],0.734,0.327,0.144,1.368,0.005,0.005,5053.0,3998.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[16],0.368,0.305,-0.193,0.955,0.004,0.005,7006.0,4242.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[17],-0.055,0.138,-0.305,0.212,0.002,0.002,6777.0,3935.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[18],0.259,0.283,-0.275,0.795,0.003,0.005,8050.0,4047.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[19],0.99,0.334,0.388,1.604,0.005,0.005,4207.0,3818.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[20],0.95,0.275,0.442,1.451,0.005,0.004,2933.0,3923.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[21],-0.227,0.18,-0.555,0.125,0.002,0.003,5672.0,4134.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[22],0.101,0.258,-0.378,0.596,0.003,0.004,8843.0,4477.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu_zerosum__[23],-0.106,0.289,-0.663,0.437,0.003,0.005,9355.0,3993.0,1.0,lh_G_and_S_occipital_inf
sex_sigma_intercept_mu,2.743,1.027,0.839,4.671,0.012,0.013,7479.0,4377.0,1.0,lh_G_and_S_occipital_inf
normalized_sex_offset_intercept_mu_zerosum__[0],0.009,0.017,-0.021,0.042,0.0,0.0,6117.0,3283.0,1.0,lh_G_and_S_occipital_inf
slope_sigma[sigma_covariates_0],-0.366,0.385,-1.096,0.322,0.008,0.006,2064.0,2745.0,1.0,lh_G_and_S_occipital_inf
slope_sigma[sigma_covariates_1],0.327,1.576,-2.677,3.23,0.024,0.017,4139.0,4687.0,1.0,lh_G_and_S_occipital_inf
slope_sigma[sigma_covariates_2],-1.212,1.333,-3.622,1.336,0.034,0.023,1584.0,2470.0,1.0,lh_G_and_S_occipital_inf
slope_sigma[sigma_covariates_3],-1.596,0.948,-3.371,0.112,0.024,0.014,1642.0,2669.0,1.0,lh_G_and_S_occipital_inf
slope_sigma[sigma_covariates_4],-0.381,0.929,-2.145,1.373,0.02,0.013,2153.0,3088.0,1.0,lh_G_and_S_occipital_inf
slope_sigma[sigma_covariates_5],-0.089,1.305,-2.45,2.384,0.024,0.017,3034.0,3682.0,1.0,lh_G_and_S_occipital_inf
slope_sigma[sigma_covariates_6],0.315,1.681,-2.812,3.347,0.029,0.021,3419.0,3851.0,1.0,lh_G_and_S_occipital_inf
slope_sigma[sigma_covariates_7],-0.51,1.885,-3.984,3.155,0.023,0.022,6971.0,4741.0,1.0,lh_G_and_S_occipital_inf
intercept_sigma,0.051,0.869,-1.549,1.618,0.023,0.015,1438.0,2158.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Pittsburgh],-1.138,0.623,-2.344,-0.004,0.007,0.009,8268.0,4584.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Oxford],-0.568,0.289,-1.116,-0.046,0.004,0.004,4915.0,2876.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Newark],-0.214,0.282,-0.709,0.348,0.003,0.004,8204.0,4410.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Leiden_2180],-0.462,0.353,-1.138,0.183,0.004,0.005,7345.0,4444.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[SaintLouis],0.871,0.269,0.394,1.397,0.005,0.003,3331.0,4092.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Munchen],-0.191,0.385,-0.95,0.517,0.004,0.005,8235.0,4693.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Beijing_Zang],0.264,0.131,0.019,0.504,0.002,0.002,4381.0,4108.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Cleveland],0.349,0.257,-0.139,0.826,0.003,0.004,6477.0,4633.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[AnnArbor_b],-1.421,0.354,-2.096,-0.792,0.007,0.004,2300.0,3603.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Berlin_Margulies],1.046,0.308,0.501,1.628,0.005,0.004,3523.0,3667.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Oulu],-0.042,0.152,-0.349,0.234,0.002,0.002,7354.0,4218.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Baltimore],-0.145,0.27,-0.628,0.397,0.003,0.005,9322.0,3985.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[ds003568-1.0.4],1.244,0.401,0.525,2.022,0.006,0.005,3956.0,4286.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Milwaukee_b],0.06,0.255,-0.421,0.541,0.003,0.004,6856.0,4321.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[ICBM],0.122,0.172,-0.21,0.442,0.002,0.002,7666.0,4311.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[PaloAlto],0.548,0.31,-0.023,1.139,0.004,0.004,6306.0,4112.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Leiden_2200],0.182,0.296,-0.364,0.75,0.003,0.005,8173.0,4123.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Cambridge_Buckner],-0.241,0.136,-0.509,-0.003,0.002,0.002,5002.0,4198.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[NewYork_a_ADHD],0.073,0.274,-0.425,0.61,0.003,0.005,8491.0,4008.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Queensland],0.804,0.314,0.227,1.38,0.004,0.005,5143.0,3856.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[ds003653-1.0.0],0.764,0.25,0.321,1.242,0.004,0.003,3705.0,3869.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[NewYork_a],-0.413,0.187,-0.774,-0.077,0.003,0.003,4053.0,3963.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Atlanta],-0.085,0.25,-0.551,0.402,0.003,0.004,8539.0,4709.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[Bangor],-0.291,0.287,-0.874,0.226,0.003,0.005,8305.0,3685.0,1.0,lh_G_and_S_occipital_inf
normalized_site_offset_intercept_mu[AnnArbor_a],-1.115,0.361,-1.796,-0.457,0.007,0.005,3120.0,3999.0,1.0,lh_G_and_S_occipital_inf
normalized_sex_offset_intercept_mu[M],0.006,0.012,-0.015,0.03,0.0,0.0,6117.0,3283.0,1.0,lh_G_and_S_occipital_inf
normalized_sex_offset_intercept_mu[F],-0.006,0.012,-0.03,0.015,0.0,0.0,6117.0,3283.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[0],-0.907,0.507,-1.826,0.056,0.006,0.006,6216.0,4923.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[1],-0.438,0.203,-0.807,-0.044,0.002,0.003,8283.0,4269.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[2],-0.165,0.212,-0.558,0.23,0.002,0.003,9120.0,4260.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[3],-0.359,0.263,-0.851,0.127,0.003,0.003,8140.0,4543.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[4],0.676,0.174,0.354,0.998,0.002,0.002,8342.0,4581.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[5],-0.149,0.294,-0.67,0.429,0.003,0.004,8217.0,4902.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[6],0.204,0.093,0.027,0.376,0.001,0.001,6754.0,5117.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[7],0.27,0.191,-0.072,0.645,0.002,0.003,7751.0,4782.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[8],-1.101,0.191,-1.484,-0.772,0.002,0.002,6892.0,5102.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[9],0.812,0.197,0.473,1.212,0.002,0.003,7673.0,4522.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[10],-0.032,0.114,-0.243,0.186,0.001,0.001,7473.0,4414.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[11],-0.111,0.203,-0.475,0.285,0.002,0.003,9814.0,4598.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[12],0.969,0.278,0.449,1.496,0.003,0.003,7039.0,5263.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[13],0.047,0.194,-0.312,0.411,0.002,0.002,7006.0,4625.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[14],0.094,0.13,-0.152,0.337,0.001,0.002,8028.0,5202.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[15],0.427,0.23,-0.006,0.861,0.002,0.003,9478.0,4725.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[16],0.142,0.223,-0.279,0.562,0.002,0.003,8060.0,4372.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[17],-0.185,0.094,-0.356,-0.01,0.001,0.001,7563.0,4884.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[18],0.058,0.207,-0.336,0.443,0.002,0.003,8398.0,4231.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[19],0.626,0.221,0.221,1.031,0.002,0.003,8045.0,4705.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[20],0.593,0.164,0.282,0.896,0.002,0.002,8530.0,4642.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[21],-0.317,0.125,-0.558,-0.09,0.001,0.001,8109.0,5039.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[22],-0.065,0.191,-0.433,0.293,0.002,0.003,8531.0,3958.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[23],-0.226,0.214,-0.638,0.174,0.002,0.003,8927.0,4565.0,1.0,lh_G_and_S_occipital_inf
site_offset_intercept_mu[24],-0.865,0.235,-1.307,-0.431,0.003,0.003,6760.0,4872.0,1.0,lh_G_and_S_occipital_inf
sex_offset_intercept_mu[0],0.019,0.033,-0.046,0.079,0.0,0.0,7497.0,4017.0,1.0,lh_G_and_S_occipital_inf
sex_offset_intercept_mu[1],-0.019,0.033,-0.079,0.046,0.0,0.0,7497.0,4017.0,1.0,lh_G_and_S_occipital_inf
slope_mu[mu_covariates_0],-0.516,0.32,-1.163,0.034,0.009,0.006,1403.0,1799.0,1.0,lh_G_and_S_subcentral
slope_mu[mu_covariates_1],0.164,1.217,-2.218,2.409,0.028,0.016,1848.0,3027.0,1.0,lh_G_and_S_subcentral
slope_mu[mu_covariates_2],0.219,0.975,-1.625,2.126,0.031,0.02,1004.0,1584.0,1.01,lh_G_and_S_subcentral
slope_mu[mu_covariates_3],-0.277,0.713,-1.655,1.057,0.022,0.014,1011.0,1726.0,1.01,lh_G_and_S_subcentral
slope_mu[mu_covariates_4],-0.051,0.702,-1.423,1.203,0.02,0.011,1274.0,2048.0,1.01,lh_G_and_S_subcentral
slope_mu[mu_covariates_5],0.811,0.975,-0.988,2.637,0.024,0.015,1702.0,2649.0,1.0,lh_G_and_S_subcentral
slope_mu[mu_covariates_6],0.752,1.363,-1.784,3.334,0.032,0.021,1841.0,2704.0,1.0,lh_G_and_S_subcentral
slope_mu[mu_covariates_7],-1.234,1.573,-4.262,1.664,0.028,0.018,3136.0,4344.0,1.0,lh_G_and_S_subcentral
mu_intercept_mu,0.034,0.66,-1.239,1.264,0.022,0.015,904.0,1352.0,1.01,lh_G_and_S_subcentral
site_sigma_intercept_mu,-1.974,0.492,-2.845,-1.023,0.013,0.007,1378.0,2556.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[0],0.12,0.694,-1.193,1.425,0.007,0.01,9687.0,4885.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[1],-0.124,0.339,-0.754,0.544,0.003,0.006,9506.0,4025.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[2],-0.914,0.384,-1.66,-0.232,0.005,0.005,5208.0,4377.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[3],0.933,0.432,0.151,1.767,0.005,0.006,6813.0,4070.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[4],0.884,0.331,0.3,1.518,0.005,0.006,4924.0,4353.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[5],-0.148,0.39,-0.831,0.646,0.004,0.006,8599.0,4336.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[6],-0.445,0.19,-0.804,-0.098,0.004,0.003,3016.0,3694.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[7],0.144,0.295,-0.414,0.702,0.003,0.004,8561.0,4318.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[8],-0.517,0.301,-1.114,0.012,0.004,0.004,5843.0,4628.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[9],0.612,0.334,-0.031,1.248,0.005,0.005,5381.0,3899.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[10],0.557,0.209,0.176,0.959,0.003,0.003,3710.0,4283.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[11],-0.024,0.339,-0.69,0.593,0.003,0.006,10762.0,4011.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[12],0.679,0.397,-0.055,1.434,0.005,0.006,6987.0,4516.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[13],0.126,0.287,-0.394,0.681,0.003,0.004,7044.0,3981.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[14],1.001,0.279,0.474,1.501,0.006,0.004,2292.0,3864.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[15],-0.245,0.371,-0.953,0.473,0.004,0.006,8841.0,3991.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[16],0.823,0.368,0.167,1.548,0.005,0.005,6403.0,4953.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[17],0.253,0.16,-0.055,0.546,0.002,0.002,5180.0,4169.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[18],0.014,0.318,-0.629,0.585,0.003,0.005,9847.0,4342.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[19],1.523,0.432,0.742,2.356,0.007,0.006,3398.0,3925.0,1.0,lh_G_and_S_subcentral
normalized_site_offset_intercept_mu_zerosum__[20],0.914,0.307,0.348,1.484,0.005,0.004,3899.0,4754.0,1.0,lh_G_and_S_subcentral
